Year,Month,UniqueCarrier,CarrierName,TotalAircrafts,TotalFlights,TotalDistance,AvgDistancePerDay,AvgFlightsPerDay,TotalAirTime,TotalTravelTime,TimeOnGround,PctTimeOnGround
2000,Jan,AA,American Airlines Inc.,690,61666,61688092,3396.06,3.31,354960.1322174072,435440.30589294434,638639.8675231934,64
2000,Jan,AS,Alaska Airlines Inc.,89,12668,9296009,3651.54,4.99,52278.69921875,72419.42309570312,75881.30090332031,59
2000,Jan,CO,Continental Air Lines Inc.,347,32813,31486712,3447.53,3.40,186275.69674682617,223487.78680801392,313404.30322265625,63
2000,Jan,DL,Delta Air Lines Inc.,580,78055,57346134,3462.49,4.66,326980.41792297363,480394.04682922363,508219.5817871094,61
2000,Jan,HP,America West Airlines Inc.,123,17819,15347856,4444.22,5.25,80806.78622436523,105724.29992675781,96313.21380615234,54
2000,Jan,NW,Northwest Airlines Inc.,375,44902,32646339,3330.98,4.31,206690.26741027832,291483.36768722534,333309.73260498047,62
2000,Jan,TW,Trans World Airways LLC,179,22343,17058913,3458.77,4.43,102556.07534790039,133804.8748779297,155203.92449951172,60
2000,Jan,UA,United Air Lines Inc.,586,64790,58891766,3784.06,4.01,332921.5481567383,405574.5704345703,510918.45178222656,61
2000,Jan,US,US Airways Inc.,379,61179,34667435,3211.59,5.67,213382.1495437622,293707.818069458,332377.8507080078,61
2000,Jan,WN,Southwest Airlines Co.,309,74242,35541097,3804.90,7.97,204895.68103027344,263328.8540649414,240064.31896972656,54
2000,Feb,AA,American Airlines Inc.,693,58072,58253830,3402.67,3.32,360627.33446502686,438680.48931121826,637292.665222168,64
2000,Feb,AS,Alaska Airlines Inc.,87,12019,8871577,3873.73,5.24,51116.982818603516,71995.86791992188,74163.01708984375,59
2000,Feb,CO,Continental Air Lines Inc.,350,31546,30046770,3457.01,3.48,193899.97589111328,232357.97536849976,310100.02435302734,62
2000,Feb,DL,Delta Air Lines Inc.,581,71090,51592325,3347.52,4.56,325379.92515563965,462217.60662841797,511260.0746459961,61
2000,Feb,HP,America West Airlines Inc.,119,16934,14550602,4485.11,5.31,79587.8374633789,106955.13171386719,91772.16259765625,54
2000,Feb,NW,Northwest Airlines Inc.,375,42887,31379461,3501.88,4.38,217917.19384765625,294834.4644317627,322082.8065185547,60
2000,Feb,TW,Trans World Airways LLC,178,21261,16278744,3464.65,4.43,102462.80084228516,133960.6955871582,153857.1990966797,60
2000,Feb,UA,United Air Lines Inc.,588,62029,56348086,3828.71,4.09,341234.3293762207,413622.6668243408,505485.6707763672,60
2000,Feb,US,US Airways Inc.,382,57935,33137761,3185.69,5.60,222945.99732208252,307513.90811920166,327134.0026855469,59
2000,Feb,WN,Southwest Airlines Co.,313,70726,33844400,3842.01,8.07,212183.82049560547,272231.98083496094,238536.17950439453,53
2000,Mar,AA,American Airlines Inc.,692,62759,62992934,3403.49,3.32,366032.18563842773,446505.38471603394,630447.8142089844,63
2000,Mar,AS,Alaska Airlines Inc.,89,13205,9892160,3870.00,5.13,53708.71484375,74927.6576538086,74451.28515625,58
2000,Mar,CO,Continental Air Lines Inc.,353,34461,32912306,3485.36,3.49,196954.7120666504,236306.87866973877,311365.28802490234,61
2000,Mar,DL,Delta Air Lines Inc.,584,78453,57646784,3454.71,4.66,340539.1216812134,473151.40085983276,500420.87786865234,60
2000,Mar,HP,America West Airlines Inc.,123,18627,16086400,4378.73,5.10,84893.3031616211,112281.96807861328,92226.69677734375,52
2000,Mar,NW,Northwest Airlines Inc.,379,46097,33824614,3475.20,4.37,218849.32929992676,293899.0073852539,326910.6705932617,60
2000,Mar,TW,Trans World Airways LLC,180,22994,17739180,3508.49,4.43,104792.27209472656,134596.93301391602,154407.7280883789,60
2000,Mar,UA,United Air Lines Inc.,585,67455,61348284,3896.72,4.15,349018.22717285156,419444.1357116699,493381.7731933594,59
2000,Mar,US,US Airways Inc.,384,62672,36631724,3243.26,5.59,228699.7331161499,314408.3560256958,324260.2668457031,59
2000,Mar,WN,Southwest Airlines Co.,315,76221,36645949,3862.74,8.06,214748.09893798828,274728.5368041992,238851.90106201172,53
2000,Apr,AA,American Airlines Inc.,698,60276,60250909,3369.41,3.30,365343.1992492676,445921.34412384033,639776.8005981445,64
2000,Apr,AS,Alaska Airlines Inc.,88,12374,9251562,3801.31,5.13,50902.37405395508,72810.73162841797,75817.6259765625,60
2000,Apr,CO,Continental Air Lines Inc.,352,32445,31206630,3424.20,3.44,193758.8462524414,233754.92874145508,313121.1535644531,62
2000,Apr,DL,Delta Air Lines Inc.,581,75247,55596317,3465.14,4.63,338739.9754180908,468186.3664855957,497900.0249633789,60
2000,Apr,HP,America West Airlines Inc.,124,18061,15720988,4402.42,5.09,84899.2153930664,110341.3564453125,93660.7846069336,52
2000,Apr,NW,Northwest Airlines Inc.,377,44157,32329362,3345.89,4.30,209985.79638671875,286651.9454498291,332894.20388793945,61
2000,Apr,TW,Trans World Airways LLC,180,22237,17232640,3443.86,4.38,104057.13545227051,135669.5358734131,155142.86444091797,60
2000,Apr,UA,United Air Lines Inc.,588,65095,59195364,3868.31,4.11,347945.69470214844,417109.0723876953,498774.3053588867,59
2000,Apr,US,US Airways Inc.,388,60048,35869972,3275.90,5.51,231013.89148712158,314833.6802215576,327706.1085205078,59
2000,Apr,WN,Southwest Airlines Co.,317,73323,35879248,3873.84,7.90,215016.99938964844,275104.8836669922,241463.00061035156,53
2000,May,AA,American Airlines Inc.,697,62081,62099488,3370.77,3.30,362973.13819885254,440650.0418167114,640706.862121582,64
2000,May,AS,Alaska Airlines Inc.,84,12631,9438303,3885.46,5.22,51179.05029296875,71020.01971435547,69780.9496459961,58
2000,May,CO,Continental Air Lines Inc.,353,32968,32359975,3485.44,3.41,193167.09393310547,226699.23240804672,315152.90631103516,62
2000,May,DL,Delta Air Lines Inc.,586,76797,57293590,3449.21,4.56,334756.0252685547,468481.6513290405,509083.97467041016,60
2000,May,HP,America West Airlines Inc.,126,18620,16139890,4349.75,5.03,86204.95245361328,109687.8804321289,95235.04754638672,52
2000,May,NW,Northwest Airlines Inc.,376,45553,32902635,3108.19,4.27,198832.86763000488,284709.35635375977,342607.1323852539,63
2000,May,TW,Trans World Airways LLC,183,22738,17951030,3578.49,4.41,107758.1400756836,137682.83715820312,155761.85986328125,59
2000,May,UA,United Air Lines Inc.,591,67997,61900591,3898.58,4.14,339208.5216369629,405794.5405883789,511831.4783935547,60
2000,May,US,US Airways Inc.,389,62710,37433211,3290.76,5.55,229286.9075164795,316062.5613479614,330873.0923461914,59
2000,May,WN,Southwest Airlines Co.,321,76814,37573409,3881.58,7.96,217200.3779296875,279296.693359375,245039.6220703125,53
2000,Jun,AA,American Airlines Inc.,698,61093,61351717,3425.41,3.34,370312.09745788574,440600.81550598145,634807.9027099609,63
2000,Jun,AS,Alaska Airlines Inc.,88,12705,9749669,4064.08,5.28,54599.19659423828,74503.93322753906,72120.80346679688,57
2000,Jun,CO,Continental Air Lines Inc.,343,32458,32256265,3575.31,3.49,193880.97103881836,227833.1485748291,300039.0288696289,61
2000,Jun,DL,Delta Air Lines Inc.,588,74846,55986604,3482.90,4.59,340595.0133972168,478187.08807373047,506124.9867553711,60
2000,Jun,HP,America West Airlines Inc.,126,18443,16183917,4460.17,5.11,86369.75076293945,111398.91345214844,95070.24920654297,52
2000,Jun,NW,Northwest Airlines Inc.,375,46974,34438932,3348.08,4.50,210865.2530517578,301757.89666748047,329134.7467651367,61
2000,Jun,TW,Trans World Airways LLC,184,22667,18144625,3681.83,4.52,111629.87396240234,141394.98208618164,153330.1259765625,58
2000,Jun,UA,United Air Lines Inc.,592,66081,60765784,3939.71,4.16,349008.5418395996,411775.0623931885,503471.4577636719,59
2000,Jun,US,US Airways Inc.,390,60777,36853866,3337.78,5.50,227598.30101013184,311622.66525268555,334001.69903564453,59
2000,Jun,WN,Southwest Airlines Co.,323,75056,36608747,3893.90,7.98,219509.99896240234,283387.29962158203,245610.00103759766,53
2000,Jul,AA,American Airlines Inc.,698,63158,63870455,3463.25,3.34,374083.6304779053,455446.20458984375,631036.3695678711,63
2000,Jul,AS,Alaska Airlines Inc.,92,13869,10852388,4210.23,5.40,57685.70880126953,77707.4418334961,74794.29119873047,56
2000,Jul,CO,Continental Air Lines Inc.,338,32798,33133957,3553.90,3.42,186802.87756347656,223500.79454040527,299917.12200927734,62
2000,Jul,DL,Delta Air Lines Inc.,591,75776,57377208,3473.12,4.51,338620.8410949707,472864.7450866699,512419.1583251953,60
2000,Jul,HP,America West Airlines Inc.,127,18507,16426775,4386.51,4.96,83313.47178649902,108220.00564575195,99566.52819824219,54
2000,Jul,NW,Northwest Airlines Inc.,380,48651,36178379,3344.76,4.39,211774.59608459473,298222.28829956055,335425.4037475586,61
2000,Jul,TW,Trans World Airways LLC,184,23181,18771940,3708.68,4.44,110354.70040893555,139814.73629760742,154605.29949951172,58
2000,Jul,UA,United Air Lines Inc.,586,66746,61905152,3897.21,4.12,342164.81536865234,406324.78062438965,501675.18463134766,59
2000,Jul,US,US Airways Inc.,405,64436,38697327,3300.13,5.47,237395.15744018555,326021.0778198242,345804.8425292969,59
2000,Jul,WN,Southwest Airlines Co.,330,76220,37549276,3825.87,7.80,217602.24334716797,282106.3505859375,257597.75665283203,54
2000,Aug,AA,American Airlines Inc.,710,63959,64824022,3446.82,3.32,377367.06437683105,453564.7062969208,645032.9360961914,63
2000,Aug,AS,Alaska Airlines Inc.,91,13727,10734367,4049.44,5.22,57029.07067871094,77769.6488647461,74010.92932128906,56
2000,Aug,CO,Continental Air Lines Inc.,343,33803,34074957,3603.92,3.48,194192.72729492188,228593.26192855835,299727.27282714844,61
2000,Aug,DL,Delta Air Lines Inc.,591,77654,58297162,3481.25,4.57,341720.0339355469,478146.7201690674,509319.96588134766,60
2000,Aug,HP,America West Airlines Inc.,128,18766,16465578,4410.90,5.03,88545.63500976562,112324.86364746094,95774.36499023438,52
