Year,UniqueCarrier,CarrierName,TotalAircrafts,TotalFlights,TotalDistance,AvgDistancePerDay,AvgFlightsPerDay,TotalAirTime,TotalTravelTime,TimeOnGround,PctTimeOnGround,PctEfficiency,Month
2000,AA,American Airlines Inc.,8411,742265,747904093,3419.53,3.32,4429205.191688538,5368595.204538345,7682634.808898926,63,37,"Total"
2000,AQ,Aloha Airlines Inc.,42,11036,1827830,1700.18,10.79,17930.124786376953,28695.796997070312,42549.875,70,30,"Total"
2000,AS,Alaska Airlines Inc.,1082,154171,116785792,3875.56,5.13,652619.0362854004,899727.3405151367,905460.9638061523,58,42,"Total"
2000,CO,Continental Air Lines Inc.,4166,393036,387716408,3520.67,3.44,2314272.699234009,2753511.9383969307,3684767.3009643555,61,39,"Total"
2000,DL,Delta Air Lines Inc.,7088,908029,677138954,3437.29,4.55,4036210.226119995,5710926.682544708,6170509.772583008,60,40,"Total"
2000,HP,America West Airlines Inc.,1527,219160,191005263,4348.41,5.03,1022875.2994842529,1328017.8589019775,1176004.7005615234,53,47,"Total"
2000,NW,Northwest Airlines Inc.,4519,551337,400846694,3298.30,4.38,2502771.852218628,3518501.2269706726,4004588.1469421387,62,38,"Total"
2000,TW,Trans World Airways LLC,2163,267131,212105822,3589.38,4.41,1275530.8096160889,1629131.4679412842,1839189.1900024414,59,41,"Total"
2000,UA,United Air Lines Inc.,7074,776559,715927123,3850.32,4.06,4098730.4535217285,4908724.742303848,6087829.5470581055,60,40,"Total"
2000,US,US Airways Inc.,4786,748624,444985060,3263.44,5.50,2818358.472351074,3857500.402671814,4073481.527770996,59,41,"Total"
2000,WN,Southwest Airlines Co.,3912,911699,447356171,3867.48,7.90,2635433.9815368652,3393118.7434692383,2997846.0184936523,53,47,"Total"
2001,AA,American Airlines Inc.,7954,716985,733691525,3554.53,3.40,4283684.581817627,5060140.192032814,7170075.417800307,63,37,"Total"
2001,AQ,Aloha Airlines Inc.,214,53798,12206200,2200.34,10.14,100029.41775512695,153696.71185302734,208130.58221435547,68,32,"Total"
2001,AS,Alaska Airlines Inc.,1193,156447,119423173,3609.06,4.75,684870.8324279785,944423.6399536133,1033049.1676635742,60,40,"Total"
2001,CO,Continental Air Lines Inc.,4254,377281,382726381,3421.17,3.30,2263452.4313201904,2731251.3534705043,3862307.566772461,63,37,"Total"
2001,DL,Delta Air Lines Inc.,7010,835236,639844061,3373.38,4.34,3832106.7640075684,5416367.225242615,6262293.235534668,62,38,"Total"
2001,HP,America West Airlines Inc.,1683,209979,186583998,3992.33,4.53,1031721.9290618896,1333165.443283081,1391798.0703735352,57,43,"Total"
2001,MQ,Envoy Air,2904,489418,131817371,1623.39,6.05,1258494.5941696167,2105397.1384277344,2923265.404602051,70,30,"Total"
2001,NW,Northwest Airlines Inc.,4623,533045,392744195,3238.20,4.18,2463257.1267852783,3435610.6741981506,4193862.874206543,63,37,"Total"
2001,TW,Trans World Airways LLC,2051,244721,194988032,3590.35,4.43,1196471.8419189453,1533071.8051605225,1756968.1582810283,59,41,"Total"
2001,UA,United Air Lines Inc.,7010,704977,669138699,3707.70,3.81,3871731.8000946045,4756587.911174774,6222668.200805664,62,38,"Total"
2001,US,US Airways Inc.,4885,688748,420479722,3166.17,5.15,2742360.3832244873,3808653.278925568,4292039.617675781,61,39,"Total"
2001,WN,Southwest Airlines Co.,4254,957145,490914269,3928.85,7.69,2838321.7119140625,3685280.2104492188,3287438.2880859375,54,46,"Total"
2002,AA,American Airlines Inc.,9781,852439,839892024,3306.09,3.25,5105661.5350112915,6278051.275666237,8966018.463145614,64,36,"Total"
2002,AS,Alaska Airlines Inc.,1230,159194,126360807,3609.52,4.59,704872.7075805664,963081.8685302734,1066327.2924194336,60,40,"Total"
2002,CO,Continental Air Lines Inc.,4288,325246,339827444,3068.96,2.85,2068117.1728515625,2516141.8361992836,4093642.8262252808,66,34,"Total"
2002,DL,Delta Air Lines Inc.,6622,728758,571370123,3192.22,4.03,3513352.3942108154,4909238.807746887,6016567.607131958,63,37,"Total"
2002,HP,America West Airlines Inc.,1680,196111,185723829,3847.99,4.10,1002344.3263092041,1304083.9543457031,1415415.673400879,59,41,"Total"
2002,MQ,Envoy Air,2830,439984,129355752,1654.56,5.56,1199311.2520141602,2005752.9174022675,2862928.748352051,70,30,"Total"
2002,NW,Northwest Airlines Inc.,4682,513331,379226160,3115.31,3.97,2443714.939819336,3392478.9264907837,4298365.059234619,64,36,"Total"
2002,UA,United Air Lines Inc.,6610,587887,588480440,3409.89,3.31,3417250.000228882,4330726.509752274,6101149.999267578,64,36,"Total"
2002,US,US Airways Inc.,3696,511664,313465312,3060.65,4.91,2044829.4189453125,2879596.3006134033,3264450.58102417,61,39,"Total"
2002,WN,Southwest Airlines Co.,4396,956745,509608518,3930.16,7.34,2942190.1044006348,3808665.560119629,3375089.895690918,53,47,"Total"
2003,AA,American Airlines Inc.,9283,745821,773369262,3298.89,3.08,4795773.614013672,5824056.62203598,8564546.387542725,64,36,"Total"
2003,AS,Alaska Airlines Inc.,1296,161594,134600560,3698.47,4.46,752712.2026062012,1005662.8550109863,1113527.797668457,60,40,"Total"
2003,B6,JetBlue Airways,542,67081,85170673,5453.41,4.28,431659.7318725586,451836.31451416016,341620.2680969238,44,56,"Total"
2003,CO,Continental Air Lines Inc.,4185,301548,325497189,3102.94,2.76,2022805.373199463,2397641.486563444,3994954.629119873,66,34,"Total"
2003,DH,Independence Air,1725,291600,104529891,2101.32,5.90,819571.7188720703,1415258.3124084473,1661548.2807617188,67,33,"Total"
2003,DL,Delta Air Lines Inc.,6335,660617,533157694,3111.51,3.81,3269037.626296997,4529249.038856506,5846162.371643066,64,36,"Total"
2003,EV,ExpressJet Airlines Inc.,1610,273712,111219103,2422.59,6.01,819617.8594894409,1404333.9233856201,1495902.1405029297,65,35,"Total"
2003,FL,AirTran Airways Corporation,866,144700,86251075,3391.55,5.72,552654.3442687988,741709.7176818848,694385.6560058594,56,44,"Total"
2003,HA,Hawaiian Airlines Inc.,53,7794,4773152,3255.59,6.16,27505.933319091797,34303.56967163086,48814.06677246094,64,36,"Total"
2003,HP,America West Airlines Inc.,1684,189519,189232083,3913.24,3.94,1009758.6790466309,1262897.6185302734,1412321.3209838867,58,42,"Total"
2003,MQ,Envoy Air,2442,421769,138757849,2027.72,6.11,1188853.4109802246,1893278.6575012207,2320426.5905151367,66,34,"Total"
2003,NW,Northwest Airlines Inc.,4619,499160,368539061,3101.56,3.96,2393630.3675308228,3331647.7532873154,4257729.633453369,64,36,"Total"
2003,OO,SkyWest Airlines Inc.,2056,393172,128303339,2186.36,6.73,1976720.4664916992,1676932.7106933594,976719.5319956541,33,67,"Total"
2003,TZ,ATA Airlines d/b/a ATA,667,69175,78974679,4448.29,3.88,447341.6391296387,542050.4421691895,511698.3609008789,53,47,"Total"
2003,UA,United Air Lines Inc.,6395,543957,565395453,3370.71,3.16,3262669.8686828613,4043593.0686950684,5946130.130554199,65,35,"Total"
2003,US,US Airways Inc.,3304,408583,271527256,2992.81,4.41,1755475.8531799316,2438834.5897521973,2995084.1463623047,63,37,"Total"
2003,WN,Southwest Airlines Co.,4558,953316,529727695,3941.55,7.08,3036372.9555358887,3881059.828063965,3519947.044494629,54,46,"Total"
2003,XE,ExpressJet Airlines Inc.,2528,324632,157101671,2185.46,4.48,1125935.2379760742,1724967.643951416,2505744.7631225586,69,31,"Total"
2004,AA,American Airlines Inc.,8566,686146,755251363,3441.20,3.04,4559296.533996582,5351458.422633171,7775743.46472168,63,37,"Total"
