Year,UniqueCarrier,CarrierName,TotalAircrafts,TotalFlightsPerCraft,TotalFlights,TotalDistance,TotalAirTimePerCraft,DaysFlownPerCraft,AvgAirTimePerDay,AvgFlightsPerDay,TotalAirTime,cancelled,Month
2000,WN,Southwest Airlines Co.,3900,2601.33,902660.00,444214282,224377.18,331.47,675.75,7.85,77858883.00,0,Total
2000,WN,Southwest Airlines Co.,12,9039.00,9039.00,3141889,0.00,355.00,0.00,25.21,0.00,1,Total
2000,US,US Airways Inc.,4774,1612.01,720569.00,431722202,179020.78,297.13,590.36,5.32,80022290.00,0,Total
2000,US,US Airways Inc.,12,28055.00,28055.00,13262858,0.00,366.00,0.00,76.52,0.00,1,Total
2000,UA,United Air Lines Inc.,7061,1187.03,732400.00,681204301,174855.38,287.99,580.90,3.87,107885769.00,0,Total
2000,UA,United Air Lines Inc.,868,108.50,44159.00,34722822,0.00,3.24,0.00,2.62,0.00,1,Total
2000,TW,Trans World Airways LLC,2151,1296.42,261877.00,209006014,173764.30,290.99,592.99,4.35,35100388.00,0,Total
2000,TW,Trans World Airways LLC,12,5254.00,5254.00,3099808,0.00,335.00,0.00,15.38,0.00,1,Total
2000,NW,Northwest Airlines Inc.,4511,1316.95,535997.00,391523098,167622.79,296.63,558.45,4.29,68222475.00,0,Total
2000,NW,Northwest Airlines Inc.,3448,40.91,15340.00,9323596,0.00,24.21,0.00,1.67,0.00,1,Total
2000,HP,America West Airlines Inc.,1514,1519.84,209738.00,183593827,215196.24,311.08,687.30,4.87,29697081.00,0,Total
2000,HP,America West Airlines Inc.,1331,67.78,9422.00,7411436,0.00,31.85,0.00,2.08,0.00,1,Total
2000,DL,Delta Air Lines Inc.,7077,1375.92,876460.00,654827821,176873.87,298.91,574.66,4.43,112668655.00,0,Total
2000,DL,Delta Air Lines Inc.,5703,50.27,31569.00,22311133,0.00,31.92,0.00,1.48,0.00,1,Total
2000,CO,Continental Air Lines Inc.,4154,1009.79,385740.00,382144676,161563.06,285.23,557.12,3.39,61717090.00,0,Total
2000,CO,Continental Air Lines Inc.,12,7296.00,7296.00,5571732,0.00,343.00,0.00,21.02,0.00,1,Total
2000,AS,Alaska Airlines Inc.,1070,1527.76,146665.00,111053218,188515.61,307.20,609.92,4.96,18097499.00,0,Total
